video_id,search_keyword,title,channel_name,upload_date,view_count,like_count,comment_count_total,comment_text,comment_author,comment_likes,comment_date
vsRjQbGffrU,mie ayam karawang,GAK NYANGKA MIE AYAM LEGEND INI AWALNYA CUMA JUAL DI KAKI LIMA!!,Nex Carlos,2025-11-07T10:01:29Z,725515,9751,593,Terimakasih koh sudah mampir di tempat usaha orang tuanya orang🙏🙏🙏,@FILMNESIAKU,29,2025-11-07T11:52:25Z
vsRjQbGffrU,mie ayam karawang,GAK NYANGKA MIE AYAM LEGEND INI AWALNYA CUMA JUAL DI KAKI LIMA!!,Nex Carlos,2025-11-07T10:01:29Z,725515,9751,593,"Makan mie pangsit / mie ayam asin di Palembang itu rata-rata emang harus pake sambel nya ko,kayanya emang sengaja basic nya nggak di bikin full flavor biar bisa diracik sesuai selera dan yg pasti kalo udah dikasih sambel jadi mantapp 😁👍🏻",@sansss58,5,2025-11-13T19:54:13Z
vsRjQbGffrU,mie ayam karawang,GAK NYANGKA MIE AYAM LEGEND INI AWALNYA CUMA JUAL DI KAKI LIMA!!,Nex Carlos,2025-11-07T10:01:29Z,725515,9751,593,Lumayan murah meriah simpel enak kenyal hangat kenyang banyak Jakarta Timur hadir,@achmadzulfikar93,20,2025-11-07T12:18:59Z
vsRjQbGffrU,mie ayam karawang,GAK NYANGKA MIE AYAM LEGEND INI AWALNYA CUMA JUAL DI KAKI LIMA!!,Nex Carlos,2025-11-07T10:01:29Z,725515,9751,593,"Mantap ini brow Nex, aslu ini mah pengganti alm. pa Bondan salut gue konsisten kulineran. Jgn lupa donk ke coto nusantara makasar dan olahan sagu di kendari donk brow, namanya lupa tuh pake sop ikan nya😊😊",@dadangkaswara5201,2,2025-11-08T04:25:28Z
vsRjQbGffrU,mie ayam karawang,GAK NYANGKA MIE AYAM LEGEND INI AWALNYA CUMA JUAL DI KAKI LIMA!!,Nex Carlos,2025-11-07T10:01:29Z,725515,9751,593,Temen gw selalu ga habis makan mie ayam karena ga doyan. Suatu hari gw ajak ke Mie Ayam Atet. Habis dong seporsi mangkok mie ayam. Dia bilang ini mie ayam pertama yang berhasil dia habisin 😂,@wkirana4354,13,2025-11-08T12:32:03Z
vsRjQbGffrU,mie ayam karawang,GAK NYANGKA MIE AYAM LEGEND INI AWALNYA CUMA JUAL DI KAKI LIMA!!,Nex Carlos,2025-11-07T10:01:29Z,725515,9751,593,"Buat teman2 yang tinggal atau sedang dinas di Yogyakarta mesti mampir dan cobain *'Sego Empal Bu Warno'* Empal legendaris yang dimasak dengan proses & resep tradisional tersedia menu koyoran, paru, lodeh, sop, rambak, iso, abon sapi murni, sambal korek dan lainnya Top Markotop👍😃",@BennyAccor,2,2025-11-10T10:49:57Z
vsRjQbGffrU,mie ayam karawang,GAK NYANGKA MIE AYAM LEGEND INI AWALNYA CUMA JUAL DI KAKI LIMA!!,Nex Carlos,2025-11-07T10:01:29Z,725515,9751,593,Ok Mamen menunggu ini akhirnya uploud Juga.,@satyafilm6664,8,2025-11-07T10:02:38Z
vsRjQbGffrU,mie ayam karawang,GAK NYANGKA MIE AYAM LEGEND INI AWALNYA CUMA JUAL DI KAKI LIMA!!,Nex Carlos,2025-11-07T10:01:29Z,725515,9751,593,"lah lamo dak makan mie atet ini, langganan dari SD, la lumayan skrg hargonyo tapi rasonyo dabest emang",@haryaldi6797,17,2025-11-07T11:12:48Z
vsRjQbGffrU,mie ayam karawang,GAK NYANGKA MIE AYAM LEGEND INI AWALNYA CUMA JUAL DI KAKI LIMA!!,Nex Carlos,2025-11-07T10:01:29Z,725515,9751,593,"Ko.. Kapan main ke rangkasbitung, banten? Ada mie ayam enak di depan SMA rangkas... Namanya ""mie ayam nikmat"".. Gerobak biru.. Enak banget ko..",@RedmiSurabaya-w2c,14,2025-11-07T10:56:22Z
vsRjQbGffrU,mie ayam karawang,GAK NYANGKA MIE AYAM LEGEND INI AWALNYA CUMA JUAL DI KAKI LIMA!!,Nex Carlos,2025-11-07T10:01:29Z,725515,9751,593,"Saya sudah pernah makan disn... Emang enak banget mie nya,, 👍👍👍🎉🎉",@ErnimLee,14,2025-11-07T10:48:39Z
q5zm7zsHdvA,seblak karawang,seblak kuah toping Bonton cemilan khas karawang 🤤 #mukbang #food,wulan amora,2025-11-21T10:47:11Z,3953,19,4,Wih seger tuh😊😊❤❤❤,@MariataDinata,0,2025-11-21T11:38:37Z
q5zm7zsHdvA,seblak karawang,seblak kuah toping Bonton cemilan khas karawang 🤤 #mukbang #food,wulan amora,2025-11-21T10:47:11Z,3953,19,4,Semangat kakak❤🎉,@loladestya5247,0,2025-11-21T11:05:55Z
1p2Sw7hyzMc,seblak karawang,jajan Mahal seblak RC,Ibu dan Asyana,2025-10-19T13:29:42Z,2051,11,0,,,0,
R1e4lSl9Tmc,seblak karawang,Cobain Seblak Viral yang Artis suka makan. Seblak RC karawang #seblak #karawang,VanVin-Family,2025-10-14T00:18:37Z,1425,13,1,Waoww,@DewianFiyan,0,2025-10-19T15:01:34Z
LX8cUx0zdEw,seblak karawang,SEBLAK RC!!!seenak ini guys #dailyvlog #mamahmuda #jajanan #seblak #trendingshorts #trending,NengDeviAldy,2025-10-13T11:31:59Z,2888,83,2,Tong hilap sanguan kak😂,@AllZod,1,2025-10-13T12:02:36Z
Y2O8Pm2P7x4,seblak karawang,Seblak Bestie di Kopel Karawang Timur,Dadan Family,2025-10-06T07:28:21Z,70,4,4,Gimana klo besok nyicip es durian nya 😅,@IbuMamay-w7h,0,2025-10-06T11:49:21Z
4Vm8hCfBTRY,seblak karawang,Vlog Kulineran Seblak Teh Windy Karawang || Keluarga Marfanji,Keluarga Marfanji,2025-10-02T10:00:11Z,63,3,0,,,0,
rszGooROZGs,seblak karawang,Cr: seblak rc karawang #seblak #seblakviral #seblakprasmanan #fyp,Serba pedas,2025-09-26T13:25:35Z,32188,2119,2,,,0,
8Py5COab_aY,seblak karawang,Seblak rc Karawang #seblak,Sriwulan Novera,2025-09-18T07:03:59Z,1077,7,0,,,0,
OcY23UDNP7A,seblak karawang,Kenapa namanya harus seblak RC.....,TitikTemu Media,2025-09-03T09:24:49Z,1654,12,0,,,0,
6i_K-OnZj9o,seblak karawang,Perjuangan Seblak RC: Dari Nol Hingga Dikenal Artis - Podcast,TitikTemu Media,2025-08-31T08:09:40Z,422,37,2,🙌🏻🙌🏻🙌🏻,@r666dy9,1,2025-08-31T17:02:32Z
