Nama_Tempat,Kategori,Jenis_Masakan,Latitude,Longitude,Alamat_Jalan,Kota
Holland Bakkery Koja,bakery,,-6.1135972999999995,106.9031901,Jl. Rawa Badak,North Jakarta
Dapur Cokelat Kelapa Gading,bakery,,-6.1489193,106.9007312,Jalan Kelapa Nias Raya Blok QE1,"Kelapa Gading, North Jakarta"
Holland Bakery Bekasi,bakery,,-6.2407409,106.99248419999999,Ahmad Yani,Bekasi
Dapur Cokelat Harapan Indah,bakery,,-6.186850700000001,106.9773949,Jalan Harapan Indah Raya,"Harapan Indah, Bekasi"
Holland Bakery Cibitung,bakery,,-6.266935,107.0790979,Jl. Teuku Umar,Bekasi
Holland Bakery De Minimalis,bakery,,-6.2658907,107.0164414,"Jalan Jatimulya,",Bekasi
Dapur Cokelat Cibubur,bakery,,-6.388577299999999,106.94274559999998,Jl. Alternatif Cibubur,"Cibubur, East Jakarta"
Dapur Cokelat Galaxy,bakery,,-6.269933299999998,106.97164049999999,Jl. Pulo Sirih Utama,Bekasi
Holland Bakery Narogong,bakery,,-6.310426699999999,106.9850694,Jl. Raya Narogong Km. 10,Bekasi
Holland Bakery Karawang,bakery,,-6.3162807,106.9240593,Jl. Raya Hankam,Bekasi
Holland Bakery Cibubur,bakery,,-6.375775999999998,106.90039850000001,JL. Arteri Cibubur,"Cibubur, East Jakarta"
Dunkin',fast_food,donut;coffee_shop,-6.2856423,106.9118736,Jl. Raya Pondok Gede Jati Rahayu,"Bekasi, West Java"
Domino's Pizza,fast_food,pizza,-6.2749005,106.9869295,,
Restoran Sederhana,restaurant,padang,-6.2761439,106.98820169999999,Jalan Kemang Pratama,Bekasi
HEMA Resto,restaurant,,-6.275668,106.9875335,,
Mie Pangsit Simpur,restaurant,,-6.276670299999998,106.98901849999999,Jalan Kemang Pratama,Bekasi
Kemang Bakery,bakery,,-6.276618999999999,106.98893929999998,Jalan Kemang Pratama,Bekasi
Restoran Zharrini,restaurant,,-6.276953099999999,106.9894926,Jalan Kemang Pratama,Bekasi
A&W,fast_food,,-6.2779636,106.9911474,,
Baskin-Robbins,ice_cream,ice_cream,-6.2778836,106.9909489,,
McDonald Mustikajaya,restaurant,fried_chicken,-6.3213575,107.01583469999998,Jl. Setu - Bantar Gebang,Bekasi
Ayam Lepas,restaurant,chicken,-6.309619699999999,107.0226203,Jalan Zamrud Utara,Bekasi
Yokobento,restaurant,japanese,-6.3099573,107.02224229999999,Jalan Zamrud Utara,Bekasi
Moo Nyusu,cafe,ice_cream,-6.312403399999999,107.02205130000002,Jalan Zamrud Utara,Bekasi
Susu Moo,cafe,ice_cream,-6.3095225,107.02277449999998,Jalan Zamrud Utara,Bekasi
Happiness Cofee and Food,cafe,regional,-6.3139635,107.0215789,Jl. Zamrud Utama,Bekasi
Zamrud Bakery,restaurant,bread,-6.3143264,107.02149209999999,Jl. Zamrud Utama,Bekasi
Nasi Padang Sederhana,restaurant,,-6.3094622,107.0228867,,
HAS Fried Chicken,restaurant,fried_chicken,-6.308275999999999,107.02713399999999,Jalan Zamrud Utara,Bekasi
Bandar Djakarta,seafood,,-6.2267286,106.99722719999998,,
Premier Riviera residence,apartment,,-6.2045134,106.90438909999999,,
hotel danker,hotel,,-6.2582159,107.1428489,,
Sentul Eco-Edu Tourism Forest,park,,-6.571206899999999,106.9130738,,
Bakso wonogiri,restaurant,regional,-6.418102,107.0296185,,
Bu Luluk - Ayam Kampung Kremes & Jamur,fast_food,asian,-6.2391999999999985,106.938639,Jalan Perumkar DKI Blok M2,
Sate Maranggi Cibungur,restaurant,regional,-6.4717694,107.4804409,,
KFC Mustika Jaya,fast_food,chicken,-6.3209079,107.0164322,,
Tokofrozenfood,fast_food,frozen_food;frozen_yogurt;nugget,-6.211585599999999,106.9991606,Jl. Pesona Anggrek,Bekasi
MOKKA,cafe,,-6.3999156,106.97587819999998,,
Dunkin' Donuts,fast_food,donut;coffee,-6.399901899999999,106.9760123,,
Cemera Indah Hotel,hotel,,-6.484637899999999,107.1060784,,
Bakso,restaurant,,-6.399816499999998,106.9761481,,
Grand Festival,food_court,,-6.3227405,107.03676569999999,Jl.Grand Residence Boulevard,Bekasi
Hotel Ciputra Cibubur,hotel,,-6.3827765,106.92579,,
RUKO RR BOULEVARD,food_court,,-6.330382,107.0334349,,
GRAND LAKE SNACK COURT,food_court,,-6.331378699999999,107.03229539999998,JL. GRAND RESIDENCE CITY BOULEVARD,
INDOMARET,convenience,,-6.3261993,107.03595009999998,JL. GRAND RESIDENCE CITY BOULEVARD,
Toko kiki,supermarket,,-6.286860199999999,107.3997898,,
HARRIS Hotel & Conventions Bekasi,hotel,,-6.224852699999999,107.00178339999998,,
Hotel Java Palace,hotel,,-6.2972038999999995,107.14889849999999,,
Ikkudo Ichi,restaurant,japanese,-6.3459065,107.165363,,
Celecton Cikarang,hotel,,-6.3392293,107.12078049999998,,
Kantin RW 12,food_court,,-6.162890099999999,106.91361839999999,,
Rumah Makan Sakura,restaurant,,-6.428089699999999,107.4278317,,
Warbune Jakarta,cafe,german,-6.252161399999999,106.9224712,Jalan Ganesha,DKI Jakarta
CFC,fast_food,,-6.3676421,107.3609337,,
FoodHall,supermarket,,-6.158029499999999,106.90739769999999,,
Tiger Sugar,beverages,,-6.158213299999999,106.90733119999999,,
The Coffee Bean & Tea Leaf,cafe,coffee_shop,-6.158326199999999,106.90725779999998,,
J.Co,fast_food,donut;coffee_shop,-6.158400799999999,106.907212,,
Bakmi Ho Liaw,restaurant,,-6.170944199999999,106.90398119999999,Jalan Kelapa Kopyor Raya,
Kopi BIlly Kelapa Gading,restaurant,,-6.1485445,106.9106984,,
Toko Holly/Nainggolan,convenience,,-6.389147,107.07410680000001,"Gang Suhari, Kampung Leungsir, Desa Jaya Sampurna 03/02, Serang Baru, Bekasi, West Java 17330",
3 sula coffee bar,cafe,coffee_shop,-6.274576299999999,106.97454459999999,Jalan Boulevard Raya Barat,Bekasi
Bright food and drink,supermarket,,-6.465965799999999,107.4448221,,
GIANT Purwakarta,supermarket,,-6.5395266,107.443151,,
Soto Mie Bogor,restaurant,,-6.3892685,107.3953829,,
Ayam Penyet Bu Sungkono,restaurant,chicken;fish,-6.2845273,106.93697699999998,Duta Indah Raya,Bekasi
Gudang Rottie,bakery,,-6.2582073,106.9495693,,
Sabana Fried Chicken,fast_food,chicken,-6.2854384,106.93621079999998,Duta Indah Raya,Bekasi
Toko Kue,bakery,,-6.351931099999999,106.9363629,,
Toko Nuget Dan Sosis,butcher,,-6.351859899999999,106.93631259999998,,
RM Padang,restaurant,,-6.352146,106.9385114,,
Thai Tea,cafe,,-6.3525285999999985,106.9367746,,
Toko Tahu Crispy,restaurant,,-6.3525319,106.93672769999999,,
Nasi Uduk Pak Ranim,restaurant,,-6.352464000000001,106.93749349999999,,
Toko Es Kelapa,cafe,,-6.3525246,106.9370009,,
Soto Kudus Matahari,restaurant,indonesian,-6.256765999999999,106.96654919999999,,
Warkop Matahari,cafe,Indomie,-6.256954,106.96654509999999,,
Mamasewa.com | Sewa Pompa Asi | Sewa Stroller,supermarket,,-6.1950641,106.9608562,The Royal Residence A6 No.38,DKI Jakarta
Bakso Sukowati Cikeas,restaurant,Bakso;Meatball,-6.3883909,106.93874529999998,,
Waroeng Makan Bebek Lalada,restaurant,,-6.2424095999999984,107.02638999999999,Jalan Pahlawan,Bekasi
D'Cika Cake & Bakery,bakery,,-6.2866163,106.93809490000001,,
Pizza Hut Delivery,fast_food,pizza,-6.2855206,106.935677,Jalan Raya Jati Makmur,Bekasi
Domino's,fast_food,pizza,-6.2853772,106.93537649999999,Jalan Raya Jati Makmur,Bekasi
Mama Foods Agen Frozen Foods,supermarket,,-6.2277195,107.00627,Jalan Perjuangan No 28,Bekasi Utara
3sulacoffeebar,cafe,coffee_shop;burger;italian,-6.273834899999999,106.97446379999998,Jalan Boulevard Raya Barat,Bekasi
kopi ula,cafe,coffee_shop;burger;ice_cream;sandwich,-6.2738247,106.97447369999999,Jalan Boulevard Raya Timur,Bekasi
Mall Citra Klender,supermarket,,-6.2141023,106.90321919999998,Jalan I Gusti Ngurah Rai,DKI Jakarta
"Kedai Mie Inget, Bekasi",restaurant,asian;noodles,-6.241249399999999,106.99660409999998,Kemakmuran III,Bekasi
Boba Story,cafe,coffee_shop;thai;burger;bubble_drink,-6.1608893,106.9901827,Jalan Taruma Jaya,Kabupaten Bekasi
D'nomi Cafe,cafe,,-6.257776,107.101128,Jl. H. Samin,Bekasi
Qulsa,convenience,,-6.3035827,106.9343694,Jl. Kecapi 3,Bekasi
Maxx Coffee,cafe,coffee_shop,-6.3341797,107.1638162,,
Ibis Styles Bekasi Jatibening,hotel,,-6.252298399999999,106.9528209,,
Nasi Goreng 14 Yuli,restaurant,,-6.2950017,106.99675629999999,,
Sate Madura Bang Aldo,restaurant,,-6.2950083999999995,106.996704,,
Tahu Sumedang PDHR,fast_food,,-6.2951657,106.99674289999999,,
Martabak,fast_food,,-6.294999499999999,106.99679579999999,,
Jamu,beverages,,-6.294951099999999,106.9977118,,
Warteg Jawir,restaurant,,-6.2945391,106.99638459999998,,
Mutia Bakery,bakery,,-6.2956601999999995,106.99686829999999,,
Warteg Srijaya,restaurant,warteg,-6.295077499999999,106.9983197,,
Mie Ayam Jamin,fast_food,,-6.287511499999999,107.00121559999998,,
Gorengan,fast_food,,-6.286517699999999,107.0026979,,
RM Anisa Jaya,restaurant,,-6.265076199999999,107.01067429999999,,
Mie Agung,restaurant,,-6.265094899999999,107.01063269999999,,
Bu Tris,restaurant,,-6.297366800000001,107.0174062,,
Warung Nasi Kuningan,restaurant,,-6.281328299999999,106.99889009999998,,
Sinar Minang,restaurant,,-6.281036099999998,106.99859549999998,,
